Decision Tree,Train Quantity,Test Quantity,Repetition,Accuracy
Original,40,4,88,1
Original,40,4,89,1
Original,40,4,90,1
Original,40,4,91,1
Original,40,4,92,1
Original,40,4,93,1
Original,40,4,94,1
Original,40,4,95,1
Original,40,4,96,1
Original,40,4,97,1
Original,40,4,98,1
Original,40,4,99,1
Original,40,4,100,1
Original,40,40,1,1
Original,40,40,2,1
Original,40,40,3,1
Original,40,40,4,1
Original,40,40,5,0.975
Original,40,40,6,0.975
Original,40,40,7,0.875
Original,40,40,8,0.9
Original,40,40,9,0.95
Original,40,40,10,1
Original,40,40,11,1
Original,40,40,12,0.95
Original,40,40,13,1
Original,40,40,14,0.925
Original,40,40,15,0.975
Original,40,40,16,0.975
Original,40,40,17,0.95
Original,40,40,18,0.975
Original,40,40,19,0.975
Original,40,40,20,1
Original,40,40,21,1
Original,40,40,22,0.975
Original,40,40,23,0.975
Original,40,40,24,0.925
Original,40,40,25,0.95
Original,40,40,26,0.975
Original,40,40,27,1
Original,40,40,28,1
Original,40,40,29,1
Original,40,40,30,1
Original,40,40,31,1
Original,40,40,32,1
Original,40,40,33,1
Original,40,40,34,1
Original,40,40,35,0.925
Original,40,40,36,0.925
Original,40,40,37,1
Original,40,40,38,0.975
Original,40,40,39,0.975
Original,40,40,40,0.95
Original,40,40,41,1
Original,40,40,42,1
Original,40,40,43,0.975
Original,40,40,44,0.95
Original,40,40,45,0.95
Original,40,40,46,0.975
Original,40,40,47,0.95
Original,40,40,48,1
Original,40,40,49,0.975
Original,40,40,50,0.975
Original,40,40,51,0.975
Original,40,40,52,0.975
Original,40,40,53,1
Original,40,40,54,0.925
Original,40,40,55,0.95
Original,40,40,56,0.975
Original,40,40,57,0.95
Original,40,40,58,0.95
Original,40,40,59,1
Original,40,40,60,0.95
Original,40,40,61,0.975
Original,40,40,62,0.95
Original,40,40,63,0.95
Original,40,40,64,1
Original,40,40,65,1
Original,40,40,66,0.975
Original,40,40,67,0.975
Original,40,40,68,0.975
Original,40,40,69,0.975
Original,40,40,70,1
Original,40,40,71,0.95
Original,40,40,72,0.975
Original,40,40,73,0.975
Original,40,40,74,0.975
Original,40,40,75,0.875
Original,40,40,76,0.875
Original,40,40,77,0.975
Original,40,40,78,0.975
Original,40,40,79,0.85
Original,40,40,80,0.95
Original,40,40,81,0.95
Original,40,40,82,0.95
Original,40,40,83,0.975
Original,40,40,84,0.975
Original,40,40,85,0.95
Original,40,40,86,0.95
Original,40,40,87,1
Original,40,40,88,1
Original,40,40,89,0.975
Original,40,40,90,0.975
Original,40,40,91,0.975
Original,40,40,92,0.875
Original,40,40,93,0.925
Original,40,40,94,0.95
Original,40,40,95,0.95
Original,40,40,96,0.975
Original,40,40,97,0.95
Original,40,40,98,1
Original,40,40,99,1
Original,40,40,100,0.975
Original,40,400,1,0.9575
Original,40,400,2,0.9725
Original,40,400,3,0.95
Original,40,400,4,0.9575
Original,40,400,5,0.89
Original,40,400,6,0.94
Original,40,400,7,0.9425
Original,40,400,8,0.93
Original,40,400,9,0.9425
Original,40,400,10,0.9225
Original,40,400,11,0.91
Original,40,400,12,0.9625
Original,40,400,13,0.9825
Original,40,400,14,0.975
Original,40,400,15,0.9875
Original,40,400,16,0.8825
Original,40,400,17,0.9675
Original,40,400,18,0.9775
Original,40,400,19,0.9525
Original,40,400,20,0.965
Original,40,400,21,0.92
Original,40,400,22,0.79
Original,40,400,23,0.995
Original,40,400,24,0.94
Original,40,400,25,0.985
Original,40,400,26,0.8875
Original,40,400,27,0.9225
Original,40,400,28,0.985
Original,40,400,29,0.985
Original,40,400,30,0.98
Original,40,400,31,0.975
Original,40,400,32,0.9925
Original,40,400,33,0.96
Original,40,400,34,0.9425
Original,40,400,35,0.955
Original,40,400,36,0.935
Original,40,400,37,0.935
Original,40,400,38,0.93
Original,40,400,39,0.8625
Original,40,400,40,0.985
Original,40,400,41,0.9425
Original,40,400,42,0.91
Original,40,400,43,0.9125
Original,40,400,44,0.9775
Original,40,400,45,0.975
Original,40,400,46,0.9825
Original,40,400,47,0.98
Original,40,400,48,0.9875
Original,40,400,49,0.925
Original,40,400,50,0.97
Original,40,400,51,0.9575
Original,40,400,52,0.915
Original,40,400,53,0.9575
Original,40,400,54,0.9775
Original,40,400,55,0.9325
Original,40,400,56,0.935
Original,40,400,57,0.8125
Original,40,400,58,0.94
Original,40,400,59,0.9575
Original,40,400,60,0.995
Original,40,400,61,0.9175
Original,40,400,62,0.9525
Original,40,400,63,0.9775
Original,40,400,64,0.97
Original,40,400,65,0.95
Original,40,400,66,0.965
Original,40,400,67,0.9325
Original,40,400,68,0.965
Original,40,400,69,0.895
Original,40,400,70,0.9425
Original,40,400,71,0.9425
Original,40,400,72,0.9475
Original,40,400,73,0.9875
Original,40,400,74,0.965
Original,40,400,75,0.985
Original,40,400,76,0.9125
Original,40,400,77,0.985
Original,40,400,78,0.9575
Original,40,400,79,0.9525
Original,40,400,80,0.9375
Original,40,400,81,0.9675
Original,40,400,82,0.97
Original,40,400,83,0.96
Original,40,400,84,0.9425
Original,40,400,85,0.96
Original,40,400,86,0.9375
Original,40,400,87,0.9725
Original,40,400,88,0.9125
Original,40,400,89,0.9775
Original,40,400,90,0.98
Original,40,400,91,0.98
Original,40,400,92,0.9825
Original,40,400,93,0.975
Original,40,400,94,0.9725
Original,40,400,95,0.9
Original,40,400,96,0.99
Original,40,400,97,0.9875
Original,40,400,98,0.8725
Original,40,400,99,0.985
Original,40,400,100,0.9375
Original,40,4000,1,0.98175
Original,40,4000,2,0.93975
Original,40,4000,3,0.972
Original,40,4000,4,0.951
Original,40,4000,5,0.97675
Original,40,4000,6,0.9855
Original,40,4000,7,0.983
Original,40,4000,8,0.97225
Original,40,4000,9,0.971
Original,40,4000,10,0.9515
Original,40,4000,11,0.899
Original,40,4000,12,0.9745
Original,40,4000,13,0.9735
Original,40,4000,14,0.981
Original,40,4000,15,0.97375
Original,40,4000,16,0.9845
Original,40,4000,17,0.97025
Original,40,4000,18,0.9535
Original,40,4000,19,0.93375
Original,40,4000,20,0.91975
Original,40,4000,21,0.93925
Original,40,4000,22,0.96325
Original,40,4000,23,0.96225
Original,40,4000,24,0.991
Original,40,4000,25,0.922
Original,40,4000,26,0.94175
Original,40,4000,27,0.9515
Original,40,4000,28,0.983
Original,40,4000,29,0.96575
Original,40,4000,30,0.96975
Original,40,4000,31,0.92525
Original,40,4000,32,0.97425
Original,40,4000,33,0.9695
Original,40,4000,34,0.93925
Original,40,4000,35,0.98275
Original,40,4000,36,0.95225
Original,40,4000,37,0.927
Original,40,4000,38,0.922
Original,40,4000,39,0.9885
Original,40,4000,40,0.95
Original,40,4000,41,0.94775
Original,40,4000,42,0.943
Original,40,4000,43,0.94275
Original,40,4000,44,0.93375
Original,40,4000,45,0.93525
Original,40,4000,46,0.92525
